"tractid","death_injury_rf_risk_prob"
39149971500,0.392
39153531001,0.658
42003451102,0.448
42027011502,0.262
42077002100,0.366
42091200602,0.23
42093050300,0.456
42129802800,0.474
72021031305,0.376
72057270400,0.418
72087110301,0.42
72127980104,0.232
72127980105,0.232
45045002803,0.316
45063021027,0.354
46093020200,0.35
47001020500,0.354
48029171912,0.392
48083950700,0.42
48135002300,0.772
48201220600,0.43
48201540902,0.35
48439111550,0.372
49011126402,0.354
51013103800,0.322
51670820500,0.674
51740212701,0.292
51760070100,0.412
50019951100,0.326
50027965800,0.182
53025011402,0.408
53033000700,0.542
53053071309,0.226
53053073405,0.462
53061051804,0.36
53077001300,0.34
55049950600,0.332
55079000301,0.436
55079014100,0.378
55115100500,0.5
1067030200,0.442
1097006407,0.336
4019002801,0.488
4019003003,0.44
4021000212,0.39
6029006002,0.342
6037461502,0.832
6037482522,0.258
6037920336,0.414
6037980028,0.232
6059074502,0.428
6059088201,0.412
6071000604,0.4
6071006402,0.426
6073001300,0.374
6073003003,0.422
6083000501,0.334
6085502901,0.374
6099003904,0.428
8001009319,0.506
8005080900,0.408
8031004506,0.48
8045951701,0.414
8059012050,0.178
8069001808,0.306
9001022400,0.834
9003480600,0.26
9009190301,0.212
11001007807,0.436
12009071500,0.172
12033003308,0.362
12035060214,0.434
12099007746,0.454
12103025602,0.648
13089022009,0.596
13117130612,0.31
13153021108,0.744
13247060407,0.786
19099040600,0.372
19113000100,0.322
17031281900,0.322
17031430500,0.32
17031800200,0.072
17031824120,0.356
17031826800,0.298
17043841318,0.52
17203030501,0.402
18011810601,0.104
18019050801,0.508
18027954600,0.548
18039000700,0.572
18063210104,0.55
18065976000,0.46
18097360302,0.466
18145710601,0.508
20091053411,0.286
20173005502,0.458
21049020103,0.26
21101020900,0.212
22063040902,0.358
24003730204,0.374
24031703000,0.318
24033800413,0.376
24033805909,0.848
24045010606,0.366
26157000400,0.562
26163565600,0.436
27015960500,0.434
27053000101,0.534
27145000701,0.292
29055450102,0.24
29189217851,0.374
37001021207,0.476
37067001400,0.516
37081013700,0.374
37101041002,0.358
37131920100,0.376
33009961500,0.632
34009021001,0.06
34017000700,0.374
34021000100,0.402
34027041701,0.268
34029731002,0.502
35001000901,0.444
32003001200,0.476
32003007200,0.352
36001014612,0.254
36001014613,0.238
36005016900,0.372
36027060201,0.092
36029005300,0.312
36029011400,0.48
36029013702,0.304
36047002300,0.44
36059414304,0.642
36065023501,0.298
36081020200,0.254
36081062500,0.624
36081077300,0.354
36091061702,0.318
36095740200,0.252
39035117500,0.95
39061021702,0.616
39093077100,0.262
39113050504,0.272
39151714901,0.102
40009966100,0.328
40143007801,0.452
42029307100,0.29
42041010100,0.47
42043022401,0.368
42071014000,0.186
42077006305,0.312
42101009500,0.454
42101014200,0.19
42101017702,0.964
72113071402,0.428
45063020201,0.142
47001020300,0.676
47093000800,0.462
47149040302,0.238
47179060700,0.372
48027022000,0.902
48029181712,0.38
48049951100,0.416
48113009605,0.218
48113016610,0.59
48121021745,0.294
48177000200,0.37
48177000500,0.382
48187210707,0.334
48201232702,0.604
48201450600,0.34
48209010804,0.288
48251130207,0.232
48321990000,0.232
48381021605,0.41
48439113709,0.362
48491020105,0.41
49035111101,0.566
51059491601,0.356
51700032131,0.372
53011043100,0.366
53025010901,0.278
53033021802,0.354
53033030600,0.432
53033032011,0.352
53053073500,0.52
55109120300,0.312
54013962600,0.216
54037972501,0.772
54057010700,0.684
1069040900,0.394
1073005908,0.554
4013108400,0.346
4019004716,0.264
6001451601,0.428
6013347000,0.29
6037113303,0.338
6037207103,0.432
6037408401,0.228
6037542402,0.37
6037554002,0.28
6037572500,0.36
6037602600,0.32
6037910001,0.266
6045011200,0.394
6061020106,0.35
6065043314,0.44
6073008348,0.41
6073013604,0.388
6077000500,0.492
6085503118,0.392
6095253205,0.386
6099000503,0.436
6099001800,0.462
8005005624,0.388
8031980100,0.232
9003462102,0.13
12057980100,0.232
12086009027,0.384
12087970900,0.38
12093910601,0.432
12095017001,0.482
12099980500,0.232
12109020400,0.424
12113010817,0.458
12115000405,0.456
13051000100,0.436
13067030231,0.374
13089021416,0.376
13135050545,0.61
13139000400,0.682
13221960100,0.39
13297110100,0.238
13299950900,0.992
15003009400,0.222
19181020800,0.43
17031230700,0.56
17031611800,0.428
17031825504,0.586
17053961600,0.524
17115001900,0.604
17139977000,0.378
17197882802,0.482
17201003602,0.692
18129040300,0.402
20091052606,0.354
20209044004,0.418
21177960500,0.38
25001011500,0.312
25009218100,0.074
25013801901,0.476
24025302200,0.42
24033801211,0.29
24037875500,0.138
23005004600,0.312
23005017304,0.39
26163535000,0.45
26163568800,0.44
27015960400,0.654
27123033600,0.464
27163070501,0.39
29027070200,0.426
29077000502,0.636
29095013410,0.5
30085080100,0.366
37081016102,0.518
37087980100,0.232
37167930700,0.342
37183054302,0.17
33011013100,0.654
33013031002,0.532
34011010200,0.39
34013010500,0.046
34039032700,0.21
35001000208,0.426
35035000602,0.392
35043010714,0.376
36035970500,0.248
36047012600,0.38
36047013900,0.262
36047057800,0.334
36059404400,0.218
36059518300,0.138
36081017200,0.378
36081020400,0.356
36087010802,0.236
36103147602,0.326
36103158103,0.256
36115088000,0.568
36119012102,0.216
39003012100,0.694
39049000710,0.432
39049008142,0.402
39061010900,0.272
41015950301,0.682
42027011800,0.322
42045401700,0.412
42049002700,0.426
42069110500,0.334
42071011901,0.352
42095016202,0.168
42099030501,0.32
42129800400,0.464
72013301600,0.39
72031050222,0.372
72031050831,0.406
45015020710,0.354
45043920501,0.368
45051050900,0.356
45083023403,0.366
47013950900,0.304
48003950400,0.214
48027022403,0.334
48041002008,0.354
48113019900,0.732
48121021750,0.31
48135001000,0.444
48201553801,0.35
48217960100,0.298
48303002203,0.304
48453000804,0.444
49049010106,0.124
51059481600,0.156
51059481702,0.328
51149850302,0.26
51199050500,0.42
51530930600,0.034
50007002702,0.144
53033009400,0.43
53033021100,0.48
53053060904,0.474
53061041606,0.434
55009000900,0.116
55081950600,0.776
55087011300,0.414
55131400104,0.458
55133203802,0.356
54033031600,0.464
1073000800,0.636
1073010802,0.18
4019004071,0.434
6029003123,0.368
6037109300,0.7
6037127711,0.37
6037133000,0.396
6037273200,0.504
6037543601,0.124
6039000109,0.364
6055200504,0.576
6065045209,0.61
6071002901,0.412
6083002209,0.414
6085510700,0.258
6095251803,0.234
9003405500,0.396
12023110700,0.652
12073000600,0.56
12083000502,0.312
12086000403,0.29
12086000808,0.414
12091022300,0.57
12095013406,0.656
12115001601,0.44
13069010801,0.284
13073030102,0.26
13143010100,0.144
13233010400,0.244
19059451100,0.382
16001010221,0.354
17031490500,0.292
17031801100,0.13
17089853900,0.39
18019050503,0.384
18027954800,0.966
18177000200,0.496
20087020300,0.292
20177001300,0.352
21023950300,0.136
21059001602,0.206
21117064900,0.42
21171930200,0.386
22033004402,0.408
25027740102,0.11
25027750200,0.506
24003706302,0.332
24015030601,0.258
26005030402,0.226
26037010104,0.352
26099251000,0.468
26163510600,0.712
26163556600,0.682
26163576400,0.386
27015960101,0.704
27029000100,0.38
27067780300,0.568
27105105300,0.392
27169670800,0.628
29077004803,0.332
29101960200,0.376
28029950600,0.894
28033070411,0.892
30031000504,0.35
37045950500,0.402
37155960501,0.38
38077970900,0.154
31079000200,0.766
33017086000,0.17
34023006203,0.348
34037372800,0.368
35029000200,0.434
35043940500,0.26
36005039400,0.244
36027160003,0.304
36029008202,0.314
36047012801,0.4
36047018200,0.366
36047039600,0.332
36047082600,0.364
36047115600,0.128
36059409100,0.336
36061012900,0.086
36061028100,0.136
36081077902,0.568
36117020201,0.124
39003013000,0.31
39023001000,0.448
39023002403,0.694
39081001300,0.398
39095000400,0.272
39119912000,0.726
39151713900,0.266
40027202404,0.544
40109107222,0.448
40143004301,0.084
41005021000,0.578
42021010200,0.486
42027012000,0.336
42029303000,0.202
42071010801,0.332
42071013400,0.426
42101003300,0.96
72127003800,0.424
44007017600,0.458
45011980100,0.232
47021070202,0.154
47029920501,0.28
47071920500,0.426
47093002800,0.514
47123925200,0.274
47163042400,0.094
47179061401,0.682
48029110600,0.436
48035950500,0.432
48201323701,0.448
48251130602,0.426
48255970400,0.454
48339694101,0.158
49049001105,0.418
49049010214,0.258
51177020405,0.548
50007001000,0.526
53011042600,0.466
53033022801,0.354
53035080600,0.432
55017011200,0.116
55079091100,0.546
55079120102,0.368
54061011803,0.184
54061011900,0.352
54093965400,0.44
5091020100,0.532
4013104225,0.468
4013112401,0.432
4013613400,0.388
4013812000,0.422
6001435700,0.382
6007000601,0.37
6037214503,0.338
6037275602,0.254
6037481002,0.386
6037540000,0.374
6041110100,0.33
6059042328,0.304
6067005001,0.58
6081600100,0.328
6083000400,0.376
6083002304,0.398
6111007700,0.516
8001008801,0.198
8031004602,0.498
10005050503,0.28
12009064400,0.704
12011020409,0.462
12031017300,0.214
12071001908,0.41
12073002408,0.294
12086000411,0.288
12099001909,0.468
12099007602,0.486
12099007724,0.548
12103024403,0.642
12103024412,0.396
13115000900,0.642
13117130305,0.598
13251970300,0.524
13285960902,0.14
15003008909,0.4
19011960400,0.352
19013001501,0.344
19113010300,0.362
17031490800,0.416
17031824123,0.402
17031843600,0.58
17043841315,0.274
17117956500,0.246
17127970200,0.634
18053000200,0.338
18089042609,0.534
21157950300,0.332
22003950400,0.394
22087030800,0.322
22109001700,0.266
25025040401,0.394
24510150500,0.3
23005002900,0.598
23031029000,0.334
26005031100,0.254
26061001000,0.352
26065002101,0.354
26065003200,0.456
26093722500,0.392
26099262300,0.506
26099263900,0.456
26115832500,0.434
26125166400,0.39
27003050607,0.434
27037060743,0.448
27123040402,0.36
29021000200,0.458
29189221900,0.376
37151031100,0.384
37157040602,0.364
31055007470,0.516
33015055002,0.59
34009020901,0.276
34039038101,0.19
35013000300,0.486
32001950700,0.432
32003000201,0.294
32003003634,0.368
32510000900,0.306
36047005602,0.274
36047079200,0.488
36055006900,0.492
36081006900,0.264
36081012400,0.394
36081074300,0.314
36081079701,0.408
36103158203,0.258
36117021000,0.1
36119002800,0.454
36119012802,0.194
39025040701,0.42
39025040702,0.716
39079957800,0.644
39109365102,0.57
39153530800,0.252
40101001100,0.38
40143001200,0.598
41029000602,0.43
42049002100,0.394
42075002800,0.186
42125795700,0.38
72025200600,0.412
72127007300,0.46
44003020603,0.188
44007011902,0.322
45027960500,0.286
45063020801,0.592
47003950600,0.756
47037015624,0.464
47093004000,0.444
47115050302,0.576
48085030407,0.366
48091310603,0.342
48167725400,0.472
48201452400,0.584
48303001000,0.246
48309004202,0.352
48347951000,0.29
48397040401,0.098
48439111314,0.644
49057201400,0.414
51029930201,0.306
51059491101,0.296
53005010100,0.292
53067012710,0.196
55009021304,0.404
55073001400,0.388
55079130100,0.34
55091950200,0.358
55133203305,0.358
1003011102,0.392
1097003708,0.372
1097003710,0.474
1117030703,0.376
